,loss,min_data_in_leaf,num_leaves,feature_fraction,bagging_fraction,lambda_l1,lambda_l2,train_time
72,1.751842784687104,13,95,0.657,0.529,3.2320150986745078,2.903992324767542,1.083042192971334
162,1.7519014464943792,7,123,0.799,0.461,0.1293192646851522,7.559294602710452,2.2143059498630464
126,1.7522717286743126,1,116,0.307,0.124,2.600570130396588,3.961341412071264,1.6088182888925076
240,1.7525959935818414,2,39,0.873,0.26899999999999996,0.978979177199038,6.820577501579206,0.9661310920491816
71,1.7529525579871352,13,92,0.66,0.6829999999999999,3.30602775296786,0.4032507610573474,1.0269883209839463
248,1.7538127796349914,1,105,0.6829999999999999,0.23399999999999999,0.10803943253359503,7.684137704114841,4.136158223031089
195,1.7552250206860789,1,41,0.804,0.5,0.907655962787168,9.435335830226427,0.8694069178309292
207,1.7554036067516692,11,113,0.47,0.493,0.3139960435950569,6.931251327260172,1.3150290430057794
66,1.755936630992656,10,93,0.787,0.6990000000000001,2.4528628241115515,0.475231541106221,1.1478774468414483
122,1.756089475912464,2,96,0.434,0.243,3.665709147991782,4.657566907506928,1.5426078408490866
239,1.756246068640969,5,69,0.818,0.536,1.2864871135086775,8.21014920720327,1.3767836031038314
152,1.7564778611137004,4,112,0.8640000000000001,0.473,0.4578663601582544,3.8230144546708082,1.7824303759261966
151,1.7566751568901249,6,114,0.856,0.36,0.2695457463424983,4.610610042958416,1.4616771589498967
107,1.7575738176315008,2,98,0.682,0.41100000000000003,4.596917671889744,5.410140403472859,1.6523166669066995
180,1.7580864374465428,9,44,0.797,0.449,0.3350558544400454,8.053696483337157,0.9668208630755544
135,1.7581771831637851,2,124,0.5660000000000001,0.39799999999999996,3.819018556344522,5.162783294246682,1.988297292031348
196,1.7594520684667752,3,105,0.828,0.307,2.466579237942885,5.373480808450073,1.5976075399667025
67,1.759777188294837,8,102,0.7190000000000001,0.602,4.081575987849072,0.4166203154656927,1.178123607998714
110,1.7600419783120038,3,127,0.606,0.615,4.29866564162,4.987054290914179,1.8832911979407072
52,1.7601785160218122,11,55,0.8,0.626,2.393091821198285,0.14211998828859684,1.0767471550498158
120,1.7605119704349106,8,118,0.622,0.273,3.9731325768280574,2.8239629442087515,1.3111434909515085
221,1.760676786963268,9,117,0.723,0.374,2.479287966976676,6.410472572201265,1.5738141208421441
211,1.7607885333693456,8,124,0.41,0.516,1.6232912236551371,5.920906425833241,2.389849141938612
160,1.7613487586665384,2,117,0.899,0.44299999999999995,0.6660876018851783,8.511141795732037,3.451418644050136
212,1.7615673522766742,6,115,0.8370000000000001,0.247,2.6704667683705985,8.165739778089593,2.5898343881126493
124,1.7616767005046052,7,113,0.789,0.574,1.0239904084987472,3.658157440678228,1.7071951578836888
86,1.7618804859358916,5,101,0.67,0.14400000000000002,1.8193374575476944,1.9279975920923256,1.554431959055364
17,1.7620936769661415,4,73,0.774,0.713,2.3122400401762384,4.997575822457473,1.5385936519596726
51,1.7628266962276566,11,128,0.795,0.7120000000000001,2.3365462897170803,0.8964350779628879,1.3111147698946295
186,1.763401154557828,13,54,0.754,0.262,2.12488638460826,8.979769040441672,0.7862163190729916
11,1.7635078073530437,5,97,0.364,0.867,4.307376177726062,3.2016019052336446,1.6486304770223796
97,1.7642681841023946,4,114,0.813,0.281,4.26852607305911,2.665810581928445,1.9391901060007517
167,1.764651627259234,4,128,0.9,0.434,1.7160370321991982,8.72206596204476,2.3596830130554736
163,1.764990675138305,4,119,0.813,0.5920000000000001,0.8028835648131832,7.828441473687403,2.2150693710427727
104,1.7658592196558311,3,118,0.705,0.519,4.9217453531938915,2.412976414756955,1.5310829060617834
179,1.7659246193495746,5,47,0.679,0.6920000000000001,0.5727387775857162,9.42164240150244,0.9899593789596112
231,1.7659400146544546,8,113,0.899,0.828,3.3273372981914218,7.011554673514754,2.489227350102737
209,1.7664517281092922,2,75,0.857,0.44299999999999995,2.266330448446979,8.715242346133419,2.3202156501356512
161,1.7666450826715634,1,122,0.831,0.547,1.041241979181753,6.587181779534929,2.5201289569959044
183,1.7670266697159462,6,51,0.736,0.335,0.13463814600313895,5.5628349684763245,1.2911470329854635
62,1.7674820943091916,12,32,0.8170000000000001,0.505,1.7050551583779607,5.349269828538429,0.7046590559184551
170,1.7677099068657849,5,110,0.764,0.233,2.057820731560375,6.371568035890102,2.141119352076202
109,1.7681260604420692,8,121,0.826,0.46399999999999997,6.295147003085601,0.7704975657135225,1.281659675994888
76,1.7684109260403889,15,116,0.456,0.485,3.8472631517294618,1.7740481134234098,1.2500072680413723
146,1.7685980756095625,17,89,0.49700000000000005,0.563,4.63482995299658,2.07575144602928,1.1967470662202686
222,1.7686756670241102,1,64,0.376,0.327,1.793229730146606,9.281331161215453,1.4023512189742178
96,1.7690772873445684,5,123,0.84,0.21899999999999997,6.288156793300378,1.2435137122994748,1.3215921269729731
224,1.7692914619431208,4,104,0.642,0.583,2.192281831934604,5.667624015280809,2.3127286029048264
1,1.7693147751896838,11,51,0.7559999999999999,0.693,5.492564477021405,8.763663765420612,1.016934478888288
26,1.7693485118641723,7,108,0.433,0.636,7.3717361881228705,1.3566037048144393,14.149195736041293
204,1.7694737449955669,5,109,0.898,0.534,2.0395721668637243,9.08221396232052,1.8271830680314447
