,loss,min_data_in_leaf,num_leaves,feature_fraction,bagging_fraction,lambda_l1,lambda_l2,train_time
422,3.1898294178955293,3,48,0.731,0.746,0.7139140265578905,2.315011427438421,1.0892512518912554
336,3.190378304479753,5,59,0.58,0.892,0.3686681095498837,3.849105799968569,0.9966126240324228
351,3.1906824972951533,4,46,0.72,0.998,0.10602213343432827,3.121743057045933,0.868870539823547
431,3.1909477059172398,4,61,0.7659999999999999,0.98,0.6003201648891991,3.059454623037825,1.1550188818946479
257,3.1912462261281003,17,53,0.8440000000000001,0.501,0.9653698922602714,0.3153044029831269,0.9253138999920338
420,3.1921282228039884,5,60,0.804,0.961,1.094676473100394,2.744004652798961,1.2097754341084508
302,3.1921912740635197,7,59,0.695,0.764,0.3043844501738712,3.811378754324779,1.0760589330457149
405,3.1922210319300985,6,56,0.787,0.975,1.066615431305605,2.3474637907135314,3.1089318161830306
485,3.1924062159526034,1,37,0.879,0.902,1.2287142501438626,1.4120020443592736,0.8560575600713491
458,3.1926819039989702,13,63,0.792,0.7290000000000001,0.10352459484020013,0.936153277524444,1.1112598758190868
414,3.1926909688400174,6,62,0.6729999999999999,0.848,0.7630335012445733,2.517352195856548,2.0672224320005625
159,3.1927373441020603,17,53,0.696,0.504,0.10562689376520408,0.3189016630657442,0.8806773978285491
479,3.193003003540982,1,43,0.853,0.247,1.098073576805264,0.6325568610935879,0.9690397970844059
409,3.19390510166382,5,57,0.7959999999999999,0.9329999999999999,0.8754997259708248,2.9735335304958417,1.6627385269384831
292,3.1943045421341982,7,58,0.757,0.966,0.11935814781389155,4.0974828419777545,1.082168067106977
277,3.194998168870129,14,64,0.769,0.607,0.4444400030127906,1.0505843151089966,1.0898133418522775
125,3.195282962069676,18,47,0.848,0.7390000000000001,1.6252652059833392,3.7649625705368917,0.9415120349731296
448,3.1960317771369007,1,58,0.7190000000000001,0.787,0.542151029921649,1.92049579365369,1.1976076089777052
31,3.197419268989399,11,54,0.889,0.162,1.028331464392368,1.7579899276982922,1.0498002839740366
118,3.197671371316088,11,60,0.805,0.904,0.28460513456738723,3.4676413879234977,1.0339494501240551
401,3.1980242828618537,5,59,0.774,0.889,0.10348267857511212,2.5043512255858538,1.8988301858771592
310,3.198903923038439,11,63,0.782,0.8109999999999999,0.4014544747684308,2.9194721777604915,1.1232760280836374
438,3.1993158444949312,2,53,0.616,0.907,0.4849021128188842,3.1707603700563496,1.0195522410795093
149,3.199382969809996,16,64,0.86,0.642,1.9103956977338448,1.0605596521926821,1.153652518056333
467,3.1996897777348168,8,58,0.6809999999999999,0.91,0.42048697523212775,2.6003010487799716,1.0351056109648198
411,3.1998894453966025,1,53,0.813,0.9990000000000001,0.5988870554577908,1.4774688101962217,3.946301158983261
453,3.1999819845128608,2,55,0.8270000000000001,0.82,1.0988812927322886,2.565418773436878,1.1199770760722458
403,3.200448795668541,3,61,0.6809999999999999,0.9620000000000001,0.6359747964706716,2.8000091324145493,1.7537329599726943
443,3.200680887740627,5,52,0.682,0.927,0.1012135706641372,4.0181344718919565,1.7315999278798702
