,loss,min_data_in_leaf,num_leaves,feature_fraction,bagging_fraction,lambda_l1,lambda_l2,train_time
110,1.3808466545228752,23,83,0.54,0.9520000000000001,1.1943257597094503,0.7072737822837276,1.020107476040721
155,1.381964361906337,14,42,0.544,0.973,1.1818706704238118,0.10549266999804363,0.7677378638181835
122,1.3836904559960022,11,114,0.6609999999999999,0.6559999999999999,1.7036156432724088,0.2625652218653808,1.6574348439462483
223,1.38620278124923,11,56,0.529,0.723,0.5734293525106819,3.2414915760748912,1.1143868160434067
177,1.38631984124341,8,106,0.48100000000000004,0.625,0.6354865647742911,0.8548756824333125,1.7234972780570388
151,1.386540839230156,5,55,0.6559999999999999,0.845,2.2956856158965824,1.593845704072408,1.0337065220810473
61,1.3867140869358885,19,118,0.469,0.9179999999999999,1.1109793612134171,1.5397571079946857,1.6999990891199561
133,1.3877554555759308,13,34,0.624,0.878,1.9648909108831152,2.3482247994510423,0.682076966157183
7,1.388755073720994,10,127,0.7120000000000001,0.7909999999999999,1.8247753142038208,3.45162392929509,1.6398418960161507
171,1.3893112781822199,29,70,0.509,0.841,0.12967167690341824,2.679571675939036,1.1386077399365604
214,1.3904307452928382,20,65,0.455,1.0,0.3301989015049616,0.4820652264750352,1.2594811769668013
225,1.391709453893232,15,69,0.613,0.63,2.4465313757009883,0.9489656856286826,1.3420064148958772
137,1.3920419936937865,7,58,0.893,0.9640000000000001,1.5372316786448703,2.009655876864778,1.1319035419728607
161,1.39426568997549,19,34,0.569,0.825,0.9473700411593882,3.303432943083667,0.6713779279962182
94,1.3960624854688417,2,96,0.519,0.644,1.2765479772419874,6.624133335576353,1.6306811028625816
101,1.3986614916436722,19,123,0.695,0.62,0.6404293337603857,4.1743480689412085,1.7695506329182535
77,1.39877198480232,14,89,0.539,0.638,1.4619483307358163,5.738353748087662,1.767997991992161
229,1.3999004941045128,14,80,0.39,0.8270000000000001,0.41373054288719296,9.775296024744943,1.3498725830577314
72,1.400326870215433,2,53,0.47100000000000003,0.993,1.314657616103813,2.8051219907282947,0.9465829129330814
33,1.400733693481626,9,102,0.594,0.684,1.975785688126445,0.8980172653549965,1.8633656119927764
195,1.403395165120254,6,84,0.46299999999999997,0.945,2.298152363882658,0.14217676160099846,1.4403827241621912
132,1.403847461142166,16,121,0.602,0.893,3.950700803496377,0.14210060552751091,1.6305192748550326
238,1.4042667080082871,10,65,0.45,0.8759999999999999,1.342785285746949,0.5078858964593291,1.029170832131058
201,1.4044626193381895,21,36,0.439,0.725,1.0036547440205577,1.9760075457391928,0.6191271829884499
237,1.4070961406725104,1,86,0.789,0.843,1.6214633870394837,4.893559778833525,1.6622801418416202
90,1.4087392131740972,10,118,0.6559999999999999,0.9,2.1171648153772087,5.5102690705387785,1.8800161329563707
83,1.4092828373977664,10,84,0.575,0.467,3.328612540531299,2.6575694034098514,1.3983730911277237
128,1.4096181749904044,12,95,0.556,0.271,2.6710818885472167,0.8633965919514822,1.3800246901810171
239,1.4115642221225804,7,89,0.5770000000000001,0.667,2.159330862162536,2.288366640073718,1.2471603520680221
115,1.4117243330414633,4,121,0.46399999999999997,0.42,2.3829099183265936,7.108987754445609,2.1864445409737527
99,1.4118816442884732,15,112,0.45,0.82,2.5238215643898023,7.138697980177697,1.6684658608864993
216,1.411886977446071,13,33,0.502,0.948,2.2162421766683207,0.7250254801477292,1.0708308410830796
79,1.4120444597202968,16,97,0.607,0.604,2.9681429905223817,2.121897792892485,2.0350009340327238
63,1.4139508036284991,4,109,0.652,0.653,3.0737494068465097,0.8559165300263183,1.8936682399362328
169,1.4151809570920812,29,76,0.528,0.715,0.967819025535302,0.6922080589166859,1.1847251709550621
126,1.4165598290330683,9,87,0.41200000000000003,0.501,1.0900357968592016,3.4759753354913747,1.337387413950637
66,1.4178276267908083,20,112,0.878,0.887,1.6209256735660045,0.4377983243940655,1.4084435130935162
241,1.4185528238393033,16,37,0.605,0.5870000000000001,3.006373859666569,1.254187844874608,1.348879026947543
42,1.4189906604686175,13,122,0.44,0.595,2.0075684381472443,3.9649788541592366,2.3499299630057067
25,1.4192699126608286,18,99,0.899,0.907,2.2787783450028742,1.646614627844592,1.6716030719690025
140,1.4206849590525357,6,38,0.774,0.8140000000000001,3.4406797330691727,0.29534057587005325,0.7915081118699163
205,1.4220683829090983,8,49,0.479,0.85,2.5461035778655674,3.756092482486892,1.1488962008152157
131,1.4221369737912706,20,125,0.5329999999999999,0.113,2.9673009573381735,1.7973924926116134,1.7147058791015295
159,1.4233852812311272,17,60,0.5920000000000001,0.639,2.1065061202015203,2.321512752016277,1.0525798629969358
243,1.424753166843195,9,32,0.532,0.76,2.592198677713166,0.7592208880475025,0.7028919160366058
75,1.4250181213174171,13,106,0.5920000000000001,0.5489999999999999,2.6184475929194457,1.810124421413844,1.780254284152761
113,1.4267333391995316,25,118,0.586,0.327,3.219870287963239,3.2816710690697226,1.594309341860935
164,1.426965448571608,15,48,0.6709999999999999,0.7390000000000001,0.5300824592155609,3.6452239234366095,0.8391885499004275
154,1.4282050988162869,15,36,0.56,0.743,1.8295106705948783,1.189156914617783,0.7044809209182858
20,1.4283439216727676,15,94,0.8079999999999999,0.943,0.8055620196786137,1.001204634439928,1.191132646985352
120,1.4306914372224502,2,104,0.435,0.907,0.7076987385541582,2.536226255341746,1.695188621990383
70,1.4318997369565818,18,98,0.562,0.868,1.8817240402203752,0.9341767983484556,1.2325091240927577
124,1.4323464859766275,3,117,0.688,0.6890000000000001,3.695455388796835,2.71639400708927,1.9383493759669363
81,1.434135651946974,8,110,0.457,0.7929999999999999,2.3949977025201155,4.718948816629859,1.7515765079297123
68,1.436235798130731,24,128,0.785,0.8170000000000001,1.0583243600019765,0.10298397880998347,1.2875687759369612
233,1.4372936040364084,12,57,0.6990000000000001,0.778,1.940341904488148,1.7286525145480476,0.9923464490566404
108,1.4373026336824097,14,110,0.7120000000000001,0.767,5.225510394153965,0.36287788318701214,1.495731292059645
29,1.4375326524403442,18,87,0.59,0.7290000000000001,3.7886526169563166,0.155257842730039,1.4181651850230992
58,1.4393911656276073,14,102,0.6890000000000001,0.603,2.4745059201227297,0.13586158617110033,1.4089417608920485
56,1.4394161700494374,38,90,0.502,0.853,0.10957786045906658,1.8956480661292567,1.3344315190333873
206,1.4396077673184926,16,54,0.49200000000000005,0.7709999999999999,3.933752211306172,2.963810071377031,3.6348954979330297
175,1.4400913940014919,22,84,0.425,0.7879999999999999,1.3825925832534043,1.6454535009845288,1.2417074649129063
231,1.440625860438714,17,35,0.6579999999999999,0.895,1.44247647407583,2.480793582525121,0.6477256109938025
226,1.4409367156896562,21,75,0.466,0.8009999999999999,1.8213649647192989,2.132629825380681,1.223450300982222
107,1.4413495684208533,6,106,0.488,0.8290000000000001,4.499267928360485,1.4241806987523589,1.674911862006411
130,1.4419733885107078,21,123,0.738,0.992,2.188878522391573,0.6719427399936938,1.28281859587878
47,1.4420720857744576,19,123,0.747,0.7759999999999999,0.7967587567797768,6.813790277236008,1.1808284670114515
172,1.44546187418022,33,99,0.555,0.556,1.7784961744203531,0.4524761543371898,1.4670873510185631
71,1.4455080609740159,22,116,0.9,0.713,2.1644458718688138,0.4421804976834229,1.5633591460064054
220,1.44573743987941,9,45,0.764,0.752,3.175243679059061,1.1540262634040888,1.6508668300230056
165,1.4489129981495619,16,51,0.494,0.6809999999999999,2.7721886654850207,0.2882357522074769,0.9194580339826643
92,1.449209210056927,14,125,0.38799999999999996,0.547,1.8062116830739527,4.3112856416760845,1.7605358618311584
167,1.449710117681918,31,82,0.474,0.65,1.1819292225059006,0.8300713790737688,1.2222154398914429
116,1.4518329752061645,24,102,0.794,0.565,0.9032978406107672,4.474382726100342,1.4799628190230578
248,1.4530789287793182,33,55,0.444,0.7959999999999999,1.1367838159927506,1.3911994946956718,0.8881098150741309
212,1.4530917644640122,22,37,0.41700000000000004,0.833,1.4779057218658431,2.071528842119722,0.7787650309037417
198,1.453380501612724,18,38,0.308,0.9109999999999999,1.6297631651554556,3.3993979689771314,0.7022946598008275
60,1.4539504495739757,12,95,0.614,0.722,5.246765592472949,3.6133089892163848,1.6382472740951926
43,1.455874215329118,9,71,0.848,0.89,2.7175334749377758,7.42480192523978,1.6548244950827211
